BookID	BookName	Author	ISBN	Genre	Publisher	Language	NumberofPage	PublicationYear	Availability
BK0001	Science Fiction	Mark Bould	9780420000000	History	Routledge	English	258	1905	Unavailable
BK0002	Ender's Game	Orson Scott Card	9781430000000	Fiction	Macmillan	English	389	1905	Unavailable
BK0003	Girl in Landscape	Jonathan Lethem	9780570000000	Fiction	Faber & Faber	English	212	1905	Available
BK0004	The Player of Games	Iain M. Banks	9780320000000	Fiction	Hachette UK	English	281	1905	Available
BK0005	Ready Player One	Ernest Cline	9781450000000	Fiction	Random House	English	303	1905	Available
BK0006	Project Hail Mary	Andy Weir	9780590000000	Fiction	Ballantine Books	English	497	1905	Available
BK0007	Science Fiction and the Prediction of the Future	Gary Westfahl, Wong Kin Yuen	9780790000000	Literary Criticism	McFarland	English	271	1905	Available
BK0008	A Planet for Rent	Yoss	9781630000000	Fiction	Restless Books	English	641	1905	Available
BK0009	Dune	Frank Herbert	9781100000000	Fiction	Penguin	English	897	1905	Available
BK0010	The Mouse Machine	J P. Telotte	9780250000000	Performing Arts	University of Illinois Press	English	235	1905	Available
BK0011	Science Fiction	Sherryl Vint	9780260000000	Literary Criticism	MIT Press	English	226	1905	Available
BK0012	Science Fiction and the Moral Imagination	Russell Blackford	9783320000000	Philosophy	Springer	English	210	1905	Available
BK0013	Consciousness and Science Fiction	Damien Broderick	9783030000000	Science	Springer	English	212	1905	Available
BK0014	Science Fiction	John Clute	9780750000000	Science fiction	DK Publishing (Dorling Kindersley)	English	312	1905	Available
BK0015	Arabic Science Fiction	Ian Campbell	9783320000000	Literary Criticism	Springer	English	328	1905	Available
BK0016	The Oxford Book of Science Fiction Stories	Tom Shippey	9780190000000	Fiction	Oxford University Press, USA	English	587	1905	Available
BK0017	The Family Trade	Charles Stross	9781430000000	Fiction	Tor Books	English	323	1905	Available
BK0018	Plants in Science Fiction	Katherine E. Bishop, David Higgins, Jerry M	9781790000000	Literary Criticism	University of Wales Press	English	274	1905	Available
BK0019	Science Fiction beyond Borders	Shawn Edrei, Danielle Gurevitch	9781440000000	Social Science	Cambridge Scholars Publishing	English	177	1905	Available
BK0020	This Is How You Lose the Time War	Amal El-Mohtar, Max Gladstone	9781530000000	Fiction	Simon and Schuster	English	224	1905	Available
BK0021	To Sleep in a Sea of Stars	Christopher Paolini	9781530000000	Fiction	Pan Macmillan	English	1019	1905	Available
BK0022	This Alien Shore	C.S. Friedman	9781800000000	Fiction	Bloomsbury Publishing	English	615	1905	Available
BK0023	The Norton Book of Science Fiction	Ursula K. Le Guin, Brian Attebery	9780390000000	Fiction	R.S. Means Company	English	869	1905	Available
