BorrowID	UserID	BookID	BorrowDate	DueDate	ReturnDate	Borrowed Status	Borrwed Method	Image
BR0001	U0001	BK0034	08/06/2024	14/06/2024	-	Overdue	Online	bookCover_34.jpg
BR0002	U0003	BK0044	05/03/2025	11/03/2025	-	Overdue	Online	bookCover_44.jpg
BR0003	U0001	BK0066	06/12/2024	12/12/2024	09/12/2024	Returned	Physical	bookCover_66.jpg
BR0004	U0002	BK0019	18/12/2024	24/12/2024	27/12/2024	Overdue	Online	bookCover_19.jpg
BR0005	U0009	BK0016	10/11/2024	16/11/2024	13/11/2024	Returned	Physical	bookCover_16.jpg
BR0006	U0076	BK0141	20/01/2025	26/01/2025	24/01/2025	Returned	Online	bookCover_141.jpg
BR0007	U0003	BK0011	17/06/2024	23/06/2024	23/06/2024	Returned	Online	bookCover_11.jpg
BR0008	U0003	BK0075	03/07/2024	09/07/2024	06/07/2024	Returned	Physical	bookCover_75.jpg
BR0009	U0051	BK0059	10/12/2024	16/12/2024	31/12/2024	Overdue	Online	bookCover_59.jpg
BR0010	U0002	BK0092	13/02/2025	19/02/2025	13/02/2025	Returned	Online	bookCover_92.jpg
BR0011	U0093	BK0192	20/01/2025	26/01/2025	09/02/2025	Overdue	Online	bookCover_192.jpg
BR0012	U0060	BK0161	07/02/2024	13/02/2024	-	Overdue	Online	bookCover_161.jpg
BR0013	U0093	BK0177	30/07/2024	05/08/2024	02/08/2024	Returned	Physical	bookCover_177.jpg
BR0014	U0100	BK0109	26/02/2025	04/03/2025	-	Overdue	Online	bookCover_109.jpg
BR0015	U0017	BK0179	23/03/2025	29/03/2025	24/03/2025	Returned	Online	bookCover_179.jpg
BR0016	U0001	BK0179	09/05/2024	15/05/2024	14/05/2024	Returned	Physical	bookCover_179.jpg
BR0017	U0065	BK0001	28/03/2024	03/04/2024	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0018	U0097	BK0203	11/09/2024	17/09/2024	-	Overdue	Online	bookCover_202.jpg
BR0019	U0093	BK0048	28/07/2024	03/08/2024	31/07/2024	Returned	Online	bookCover_48.jpg
BR0020	U0005	BK0048	06/10/2024	12/10/2024	08/10/2024	Returned	Online	bookCover_48.jpg
BR0021	U0002	BK0078	10/02/2025	16/02/2025	16/02/2025	Returned	Physical	bookCover_78.jpg
BR0022	U0004	BK0025	11/07/2024	17/07/2024	13/07/2024	Returned	Physical	bookCover_25.jpg
BR0023	U0032	BK0182	08/09/2024	14/09/2024	-	Overdue	Online	bookCover_182.jpg
BR0024	U0065	BK0040	17/06/2024	23/06/2024	18/06/2024	Returned	Physical	bookCover_40.jpg
BR0025	U0087	BK0001	13/03/2025	19/03/2025	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0026	U0092	BK0181	27/07/2024	02/08/2024	02/08/2024	Returned	Online	bookCover_181.jpg
BR0027	U0018	BK0182	12/01/2025	18/01/2025	21/01/2025	Overdue	Physical	bookCover_182.jpg
BR0028	U0005	BK0097	23/04/2024	29/04/2024	24/04/2024	Returned	Physical	bookCover_97.jpg
BR0029	U0032	BK0073	02/02/2025	08/02/2025	08/02/2025	Returned	Online	bookCover_73.jpg
BR0030	U0021	BK0122	29/03/2025	04/04/2025	19/04/2025	Overdue	Online	bookCover_122.jpg
BR0031	U0003	BK0085	21/01/2024	27/01/2024	25/01/2024	Returned	Online	bookCover_85.jpg
BR0032	U0046	BK0182	21/04/2024	27/04/2024	23/04/2024	Returned	Online	bookCover_182.jpg
BR0033	U0055	BK0049	24/08/2024	30/08/2024	30/08/2024	Returned	Online	bookCover_49.jpg
BR0034	U0004	BK0076	25/03/2024	31/03/2024	-	Overdue	Online	bookCover_76.jpg
BR0035	U0097	BK0159	16/05/2024	22/05/2024	03/06/2024	Overdue	Online	bookCover_159.jpg
BR0036	U0005	BK0150	24/02/2025	02/03/2025	02/03/2025	Returned	Physical	bookCover_150.jpg
BR0037	U0051	BK0004	14/04/2024	20/04/2024	03/05/2025	Overdue	Physical	bookCover_4.jpg
BR0038	U0035	BK0058	14/02/2024	20/02/2024	15/02/2024	Returned	Physical	bookCover_58.jpg
BR0039	U0005	BK0141	28/03/2025	03/04/2025	16/04/2025	Overdue	Physical	bookCover_141.jpg
BR0040	U0032	BK0001	10/06/2024	16/06/2024	03/05/2025	Overdue	Physical	bookCover_1.jpg
BR0041	U0001	BK0182	13/05/2024	19/05/2024	17/05/2024	Returned	Online	bookCover_182.jpg
BR0042	U0002	BK0090	28/05/2024	03/06/2024	17/06/2024	Overdue	Online	bookCover_90.jpg
BR0043	U0071	BK0001	02/02/2025	08/02/2025	03/05/2025	Overdue	Physical	bookCover_1.jpg
BR0044	U0001	BK0057	04/04/2024	10/04/2024	15/04/2024	Overdue	Online	bookCover_57.jpg
BR0045	U0005	BK0214	13/02/2024	19/02/2024	-	Overdue	Physical	bookCover_212.jpg
BR0046	U0066	BK0021	16/01/2025	22/01/2025	21/01/2025	Returned	Physical	bookCover_21.jpg
BR0047	U0091	BK0173	19/07/2024	25/07/2024	02/08/2024	Overdue	Physical	bookCover_173.jpg
BR0048	U0040	BK0122	24/03/2025	30/03/2025	24/03/2025	Returned	Physical	bookCover_122.jpg
BR0049	U0003	BK0174	08/09/2024	14/09/2024	12/09/2024	Returned	Online	bookCover_174.jpg
BR0050	U0083	BK0179	01/03/2024	07/03/2024	05/03/2024	Returned	Online	bookCover_179.jpg
BR0051	U0042	BK0148	14/03/2025	20/03/2025	-	Overdue	Online	bookCover_148.jpg
BR0052	U0037	BK0220	26/07/2024	01/08/2024	27/07/2024	Returned	Physical	bookCover_220.jpg
BR0053	U0002	BK0086	26/09/2024	02/10/2024	28/09/2024	Returned	Online	bookCover_86.jpg
BR0054	U0065	BK0115	12/07/2024	18/07/2024	31/07/2024	Overdue	Online	bookCover_115.jpg
BR0055	U0025	BK0070	18/08/2024	24/08/2024	-	Overdue	Online	bookCover_70.jpg
BR0056	U0001	BK0132	20/04/2024	26/04/2024	26/04/2024	Returned	Physical	bookCover_132.jpg
BR0057	U0051	BK0182	31/07/2024	06/08/2024	03/08/2024	Returned	Physical	bookCover_182.jpg
BR0058	U0047	BK0128	16/07/2024	22/07/2024	16/07/2024	Returned	Physical	bookCover_128.jpg
BR0059	U0004	BK0175	02/05/2024	08/05/2024	08/05/2024	Returned	Online	bookCover_175.jpg
BR0060	U0005	BK0182	05/01/2025	11/01/2025	15/01/2025	Overdue	Physical	bookCover_182.jpg
BR0061	U0007	BK0131	30/06/2024	06/07/2024	01/07/2024	Returned	Online	bookCover_131.jpg
BR0062	U0062	BK0162	05/09/2024	11/09/2024	-	Overdue	Online	bookCover_162.jpg
BR0063	U0005	BK0110	28/02/2024	05/03/2024	03/03/2024	Returned	Physical	bookCover_110.jpg
BR0064	U0057	BK0126	18/04/2024	24/04/2024	19/04/2024	Returned	Online	bookCover_126.jpg
BR0065	U0005	BK0119	06/10/2024	12/10/2024	07/10/2024	Returned	Online	bookCover_119.jpg
BR0066	U0068	BK0177	24/02/2024	01/03/2024	24/02/2024	Returned	Online	bookCover_177.jpg
BR0067	U0001	BK0179	31/01/2025	06/02/2025	03/02/2025	Returned	Physical	bookCover_179.jpg
BR0068	U0061	BK0001	01/01/2025	07/01/2025	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0069	U0084	BK0146	10/04/2024	16/04/2024	15/04/2024	Returned	Online	bookCover_146.jpg
BR0070	U0002	BK0167	06/01/2024	12/01/2024	27/01/2024	Overdue	Physical	bookCover_167.jpg
BR0071	U0040	BK0003	26/02/2025	04/03/2025	03/05/2025	Overdue	Physical	bookCover_3.jpg
BR0072	U0012	BK0161	11/03/2025	17/03/2025	19/03/2025	Overdue	Online	bookCover_161.jpg
BR0073	U0004	BK0080	09/09/2024	15/09/2024	-	Overdue	Online	bookCover_80.jpg
BR0074	U0053	BK0060	03/05/2024	09/05/2024	15/05/2024	Overdue	Physical	bookCover_60.jpg
BR0075	U0039	BK0222	15/03/2025	21/03/2025	19/03/2025	Returned	Physical	bookCover_222.jpg
BR0076	U0091	BK0128	04/06/2024	10/06/2024	24/06/2024	Overdue	Online	bookCover_128.jpg
BR0077	U0005	BK0152	09/06/2024	15/06/2024	30/06/2024	Overdue	Online	bookCover_152.jpg
BR0078	U0023	BK0216	11/02/2025	17/02/2025	16/02/2025	Returned	Online	bookCover_216.jpg
BR0079	U0048	BK0028	30/11/2024	06/12/2024	-	Overdue	Online	bookCover_28.jpg
BR0080	U0003	BK0215	10/11/2024	16/11/2024	11/11/2024	Returned	Online	bookCover_215.jpg
BR0081	U0023	BK0160	11/01/2025	17/01/2025	-	Overdue	Physical	bookCover_160.jpg
BR0082	U0088	BK0131	19/02/2024	25/02/2024	07/03/2024	Overdue	Physical	bookCover_131.jpg
BR0083	U0002	BK0120	21/03/2025	27/03/2025	24/03/2025	Returned	Online	bookCover_120.jpg
BR0084	U0004	BK0182	27/03/2024	02/04/2024	31/03/2024	Returned	Physical	bookCover_182.jpg
BR0085	U0005	BK0036	27/10/2024	02/11/2024	30/10/2024	Returned	Physical	bookCover_36.jpg
BR0086	U0072	BK0107	15/02/2025	21/02/2025	16/02/2025	Returned	Online	bookCover_107.jpg
BR0087	U0003	BK0079	11/02/2024	17/02/2024	02/03/2024	Overdue	Online	bookCover_79.jpg
BR0088	U0003	BK0170	14/05/2024	20/05/2024	-	Overdue	Physical	bookCover_170.jpg
BR0089	U0001	BK0182	24/10/2024	30/10/2024	25/10/2024	Returned	Physical	bookCover_182.jpg
BR0090	U0004	BK0047	19/08/2024	25/08/2024	07/09/2024	Overdue	Physical	bookCover_47.jpg
BR0091	U0022	BK0215	14/12/2024	20/12/2024	21/12/2024	Overdue	Online	bookCover_215.jpg
BR0092	U0032	BK0050	10/05/2024	16/05/2024	29/05/2024	Overdue	Online	bookCover_50.jpg
BR0093	U0007	BK0042	08/01/2025	14/01/2025	08/01/2025	Returned	Physical	bookCover_42.jpg
BR0094	U0006	BK0001	15/01/2025	21/01/2025	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0095	U0074	BK0008	17/04/2024	23/04/2024	19/04/2024	Returned	Online	bookCover_8.jpg
BR0096	U0005	BK0179	02/04/2025	08/04/2025	07/04/2025	Returned	Physical	bookCover_179.jpg
BR0097	U0059	BK0179	16/10/2024	22/10/2024	03/11/2024	Overdue	Online	bookCover_179.jpg
BR0098	U0084	BK0074	21/01/2025	27/01/2025	23/01/2025	Returned	Physical	bookCover_74.jpg
BR0099	U0029	BK0051	14/03/2024	20/03/2024	20/03/2024	Returned	Physical	bookCover_51.jpg
BR0100	U0066	BK0222	08/08/2024	14/08/2024	11/08/2024	Returned	Physical	bookCover_222.jpg
BR0101	U0004	BK0128	28/10/2024	03/11/2024	02/11/2024	Returned	Physical	bookCover_128.jpg
BR0102	U0068	BK0183	08/07/2024	14/07/2024	14/07/2024	Returned	Physical	bookCover_183.jpg
BR0103	U0044	BK0001	02/07/2024	08/07/2024	03/05/2025	Overdue	Physical	bookCover_1.jpg
BR0104	U0005	BK0179	29/03/2025	04/04/2025	30/03/2025	Returned	Online	bookCover_179.jpg
BR0105	U0089	BK0177	22/10/2024	28/10/2024	24/10/2024	Returned	Physical	bookCover_177.jpg
BR0106	U0005	BK0068	13/10/2024	19/10/2024	16/10/2024	Returned	Physical	bookCover_68.jpg
BR0107	U0066	BK0123	13/06/2024	19/06/2024	28/06/2024	Overdue	Physical	bookCover_123.jpg
BR0108	U0024	BK0076	17/05/2024	23/05/2024	04/06/2024	Overdue	Online	bookCover_76.jpg
BR0109	U0001	BK0073	28/02/2025	06/03/2025	08/03/2025	Overdue	Online	bookCover_73.jpg
BR0110	U0028	BK0182	09/02/2024	15/02/2024	11/02/2024	Returned	Online	bookCover_182.jpg
BR0111	U0034	BK0021	10/12/2024	16/12/2024	21/12/2024	Overdue	Online	bookCover_21.jpg
BR0112	U0074	BK0181	05/11/2024	11/11/2024	-	Overdue	Online	bookCover_181.jpg
BR0113	U0001	BK0172	02/12/2024	08/12/2024	18/12/2024	Overdue	Online	bookCover_172.jpg
BR0114	U0013	BK0097	30/11/2024	06/12/2024	04/12/2024	Returned	Online	bookCover_97.jpg
BR0115	U0001	BK0110	04/03/2025	10/03/2025	-	Overdue	Online	bookCover_110.jpg
BR0116	U0005	BK0041	23/12/2024	29/12/2024	-	Overdue	Online	bookCover_41.jpg
BR0117	U0034	BK0181	20/08/2024	26/08/2024	22/08/2024	Returned	Physical	bookCover_181.jpg
BR0118	U0064	BK0001	09/03/2025	15/03/2025	03/05/2025	Overdue	Online	bookCover_1.jpg
BR0119	U0020	BK0147	17/03/2025	23/03/2025	23/03/2025	Returned	Physical	bookCover_147.jpg
BR0120	U0001	BK0177	23/03/2024	29/03/2024	04/04/2024	Overdue	Physical	bookCover_177.jpg
BR0121	U0005	BK0181	23/01/2024	29/01/2024	04/02/2024	Overdue	Online	bookCover_181.jpg
BR0122	U0001	BK0227	28/02/2025	06/03/2025	-	Overdue	Physical	bookCover_227.jpg
BR0123	U0067	BK0181	14/10/2024	20/10/2024	-	Overdue	Online	bookCover_181.jpg
BR0124	U0082	BK0179	06/07/2024	12/07/2024	07/07/2024	Returned	Online	bookCover_179.jpg
