PF0001	U0002	BK0125	Buku Pintar Grammar: Untuk Pemula	12	2024-06-27	2024-07-11	true
PF0002	U0002	BK0075	Companion Encyclopedia of Science in the Twentieth Century	4	2024-06-12	2024-06-26	true
PF0003	U0091	BK0004	The Player of Games	13	2024-04-24	2024-05-08	true
PF0004	U0093	BK0106	Buku Ajar Speaking for General Communication	10	2024-03-05	2024-03-19	true
PF0005	U0003	BK0216	王子沉睡时	9	2025-03-19	2025-04-02	true
PF0006	U0003	BK0042	The Science of Science Fiction	5	2024-03-13	2024-03-27	true
PF0007	U0003	BK0067	Young Adult Science Fiction	3	2024-02-12	2024-02-26	true
PF0008	U0020	BK0004	The Player of Games	10	2024-08-31	2024-09-14	true
PF0009	U0005	BK0004	The Player of Games	11	2024-03-09	2024-03-23	true
PF0010	U0004	BK0161	The Spanish Love Deception	10	2024-09-02	2024-09-16	true
PF0011	U0003	BK0142	Syonan	13	2024-10-06	2024-10-20	true
PF0012	U0002	BK0062	Science Fiction in the Real World	8	2024-01-26	2024-02-09	true
PF0013	U0032	BK0191	文化哲学史研究	3	2025-02-18	2025-03-04	true
PF0014	U0004	BK0186	海外中国古典文学研究	10	2024-05-03	2024-05-17	true
PF0015	U0010	BK0178	中国现代纯文学的理论建构与创作形态	3	2025-05-02	2025-05-16	true
PF0016	U0011	BK0081	Gothic Science Fiction 1980-2010	14	2025-01-06	2025-01-20	true
PF0017	U0005	BK0141	We Hunt the Flame	13	2024-09-08	2024-09-22	true
PF0018	U0064	BK0222	鹅卵石	2	-	2025-05-16	false
PF0019	U0097	BK0161	The Spanish Love Deception	10	-	2025-05-16	false
PF0020	U0030	BK0004	The Player of Games	3	2024-09-30	2024-10-14	true
PF0021	U0034	BK0087	Encyclopedic Dictionary of Semiotics, Media, and Communications	9	2025-01-09	2025-01-23	true
PF0022	U0004	BK0099	An Encyclopaedia of Indian Archaeology	6	-	2025-05-16	false
PF0023	U0001	BK0182	大_文化新_	13	2024-01-29	2024-02-12	true
PF0024	U0002	BK0011	Science Fiction	13	2025-01-23	2025-02-06	true
PF0025	U0002	BK0182	大_文化新_	14	2025-01-15	2025-01-29	true
PF0026	U0004	BK0122	Making Art Out of Pain	3	2024-04-12	2024-04-26	true
PF0027	U0002	BK0119	Once Upon a Broken Heart	6	2025-05-02	2025-05-16	true
PF0028	U0017	BK0025	The Science in Science Fiction	13	2024-01-29	2024-02-12	true
PF0029	U0001	BK0056	The Rise and Fall of American Science Fiction, from the 1920s to the 1960s	9	-	2025-05-16	false
PF0030	U0076	BK0217	青春五堂课	8	2025-01-31	2025-02-14	true
PF0031	U0081	BK0168	Backable	4	2024-07-03	2024-07-17	true
PF0032	U0005	BK0004	The Player of Games	1	-	2025-05-16	false
PF0033	U0035	BK0048	Science Fiction	16	-	2025-05-16	false
PF0034	U0002	BK0124	Natrah	14	2025-05-02	2025-05-16	true
PF0035	U0004	BK0116	Google and the Myth of Universal Knowledge	11	2025-03-08	2025-03-22	true
PF0036	U0032	BK0141	We Hunt the Flame	14	2024-05-04	2024-05-18	true
PF0037	U0083	BK0004	The Player of Games	13	2025-03-23	2025-04-06	true
PF0038	U0087	BK0044	Teaching Science Fiction	14	2024-03-27	2024-04-10	true
PF0039	U0004	BK0182	大_文化新_	9	2024-07-11	2024-07-25	true
PF0040	U0005	BK0050	The Subject of Race in American Science Fiction	14	2024-01-24	2024-02-07	true
PF0041	U0002	BK0030	The Hercules Text	4	2025-05-02	2025-05-16	true
PF0042	U0002	BK0069	Science Fiction Film	3	2024-05-18	2024-06-01	true
PF0043	U0005	BK0004	The Player of Games	5	2024-08-27	2024-09-10	true
PF0044	U0014	BK0214	中国当代日本研究（2000－2016）	12	2024-07-01	2024-07-15	true
PF0045	U0002	BK0178	中国现代纯文学的理论建构与创作形态	13	2024-02-26	2024-03-11	true
PF0046	U0004	BK0078	Angelmass	6	2024-11-01	2024-11-15	true
PF0047	U0078	BK0163	Twisted Lies	14	-	2025-05-16	false
PF0048	U0015	BK0111	Buku Pintar Merawat Hewan Kesayangan	1	-	2025-05-16	false
PF0049	U0002	BK0037	Science Fiction: A Critical Guide	4	2024-11-03	2024-11-17	true
PF0050	U0077	BK0137	Legasi Pejuang	9	-	2025-05-16	false
PF0051	U0076	BK0004	The Player of Games	4	2024-12-01	2024-12-15	true
PF0052	U0060	BK0176	She Wore Red Trainers	14	2024-11-01	2024-11-15	true
PF0053	U0072	BK0191	文化哲学史研究	3	2025-05-03	2025-05-16	true
PF0054	U0088	BK0183	作家中的作家	15	2025-03-03	2025-03-17	true
PF0055	U0037	BK0216	王子沉睡时	14	2024-11-28	2024-12-12	true
PF0056	U0036	BK0209	西学东渐与文学变革	12	-	2025-05-16	false
PF0057	U0023	BK0113	The Rohingyas	12	2025-02-16	2025-03-02	true
PF0058	U0003	BK0184	國際文憑大學預科項目中文A課程文學術語手冊（簡體版）	11	2024-03-30	2024-04-13	true
PF0059	U0002	BK0039	The History of Science Fiction: A Graphic Novel Adventure	2	-	2025-05-16	false
PF0060	U0067	BK0086	The Dragon Waiting	3	-	2025-05-16	false
PF0061	U0003	BK0178	中国现代纯文学的理论建构与创作形态	2	-	2025-05-16	false
PF0062	U0003	BK0221	恶灵退散之魅影海唇街	9	2024-08-23	2024-09-06	true
PF0063	U0084	BK0046	How to Live Safely in a Science Fictional Universe	13	2025-02-16	2025-03-02	true
PF0064	U0003	BK0004	The Player of Games	19	-	2025-05-16	false
PF0065	U0005	BK0004	The Player of Games	4	-	2025-05-16	false
PF0066	U0003	BK0192	新加坡华人通史 XIN JIA PO HUA REN TONG SHI	3	2025-02-26	2025-03-12	true
PF0067	U0005	BK0168	Backable	7	-	2025-05-16	false
PF0068	U0003	BK0191	文化哲学史研究	14	2024-07-29	2024-08-12	true
PF0069	U0029	BK0191	文化哲学史研究	5	2024-05-12	2024-05-26	true
PF0070	U0003	BK0178	中国现代纯文学的理论建构与创作形态	9	2024-04-05	2024-04-19	true
PF0071	U0003	BK0144	The Inheritance Games	5	2024-07-19	2024-08-02	true
PF0072	U0004	BK0045	Saturn's Children	14	2024-07-23	2024-08-06	true
PF0073	U0004	BK0004	The Player of Games	11	2025-01-26	2025-02-09	true
PF0074	U0016	BK0191	文化哲学史研究	6	2024-06-28	2024-07-12	true
PF0075	U0098	BK0227	世界上最神奇的理财课	15	2024-06-16	2024-06-30	true
PF0076	U0005	BK0182	大_文化新_	2	2024-07-27	2024-08-10	true
PF0077	U0075	BK0008	A Planet for Rent	9	-	2025-05-16	false
PF0078	U0002	BK0004	The Player of Games	8	-	2025-05-16	false
PF0079	U0068	BK0032	The Chymical Wedding of Christian Rosenkreutz	6	-	2025-05-16	false
PF0080	U0084	BK0152	The Practice of Not Thinking	9	2024-07-12	2024-07-26	true
PF0081	U0002	BK0016	The Oxford Book of Science Fiction Stories	7	-	2025-05-16	false
PF0082	U0082	BK0021	To Sleep in a Sea of Stars	14	2025-01-27	2025-02-10	true
PF0083	U0004	BK0029	The Cambridge Companion to Science Fiction	1	-	2025-05-16	false
PF0084	U0003	BK0129	The Midnight Library: A GMA Book Club Pick	4	2024-02-19	2024-03-04	true
PF0085	U0097	BK0172	The Buddha and the Badass	8	-	2025-05-16	false
PF0086	U0088	BK0024	The Love Hypothesis	3	-	2025-05-16	false
PF0087	U0018	BK0216	王子沉睡时	8	-	2025-05-16	false
PF0088	U0004	BK0002	Ender's Game	4	2024-04-25	2024-05-09	true
PF0089	U0003	BK0193	知识产权与市场竞争研究（2019年第1期）	10	2024-04-11	2024-04-25	true
PF0090	U0083	BK0021	To Sleep in a Sea of Stars	7	-	2025-05-16	false
PF0091	U0004	BK0090	A Stanislaw Lem Reader	7	2024-07-25	2024-08-08	true
PF0092	U0071	BK0178	中国现代纯文学的理论建构与创作形态	4	2024-03-20	2024-04-03	true
PF0093	U0090	BK0069	Science Fiction Film	3	-	2025-05-16	false
PF0094	U0017	BK0048	Science Fiction	15	2025-03-08	2025-03-22	true
PF0095	U0084	BK0084	Worldwired	2	-	2025-05-16	false
PF0096	U0001	BK0099	An Encyclopaedia of Indian Archaeology	15	2025-03-30	2025-04-13	true
PF0097	U0004	BK0065	Never Let Me Go	1	2024-04-11	2024-04-25	true
PF0098	U0087	BK0054	Arab and Muslim Science Fiction	3	2025-02-15	2025-03-01	true
PF0099	U0049	BK0155	When Wings Expand	15	2024-06-26	2024-07-10	true
PF0100	U0004	BK0216	王子沉睡时	13	2024-08-01	2024-08-15	true
PF0101	U0001	BK0082	Theology and Science Fiction	3	-	2025-05-16	false
PF0102	U0004	BK0137	Legasi Pejuang	8	-	2025-05-16	false
PF0103	U0004	BK0064	Critical Theory and Science Fiction	15	-	2025-05-16	false
PF0104	U0002	BK0212	红楼梦叙事论稿	5	2024-04-11	2024-04-25	true
PF0105	U0002	BK0135	The Hawthorne Legacy	6	2024-01-27	2024-02-10	true
PF0106	U0069	BK0191	文化哲学史研究	3	2024-03-04	2024-03-18	true
PF0107	U0003	BK0042	The Science of Science Fiction	3	2024-08-26	2024-09-09	true
PF0108	U0004	BK0181	全球化语境中的莫言研究	12	-	2025-05-16	false
PF0109	U0087	BK0007	Science Fiction and the Prediction of the Future	4	-	2025-05-16	false
PF0110	U0002	BK0033	Economic Science Fictions	14	2024-12-05	2024-12-19	true
PF0111	U0015	BK0102	Akulah Si Jelita	15	2025-01-25	2025-02-08	true
PF0112	U0042	BK0112	Leaving Microsoft to Change the World	3	2024-06-07	2024-06-21	true
PF0113	U0005	BK0178	中国现代纯文学的理论建构与创作形态	4	2024-08-08	2024-08-22	true
PF0114	U0073	BK0004	The Player of Games	27	-	2025-05-16	false
PF0115	U0005	BK0134	English For Juniors	7	2024-06-07	2024-06-21	true
PF0116	U0003	BK0135	The Hawthorne Legacy	3	-	2025-05-16	false
PF0117	U0043	BK0178	中国现代纯文学的理论建构与创作形态	12	-	2025-05-16	false
PF0118	U0002	BK0002	Ender's Game	6	2024-10-24	2024-11-07	true
PF0119	U0054	BK0045	Saturn's Children	5	2024-01-18	2024-02-01	true
PF0120	U0069	BK0057	Science Fiction, Ethics and the Human Condition	1	2024-05-25	2024-06-08	true
PF0121	U0001	BK0191	文化哲学史研究	10	2024-05-10	2024-05-24	true
PF0122	U0096	BK0142	Syonan	28	-	2025-05-16	false
PF0123	U0003	BK0189	励耘学刊（2018年第2辑．总第28辑）	9	2024-12-28	2025-01-11	true
PF0124	U0068	BK0181	全球化语境中的莫言研究	5	2024-09-07	2024-09-21	true
PF0125	U0082	BK0181	全球化语境中的莫言研究	24	-	2025-05-16	false
PF0126	U0098	BK0004	The Player of Games	2	-	2025-05-16	false
PF0127	U0003	BK0002	Ender's Game	3	-	2025-05-16	false
PF0128	U0065	BK0178	中国现代纯文学的理论建构与创作形态	7	2024-05-09	2024-05-23	true
